"curation_id","original_fmt_id","original_fmt_role","curated_fmt_role","curated_fmt_id","curated_fmt_id_source","curated_fmt_role_source"
"AsnicarF_2021:SAMEA7045072",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045073",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045074",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045075",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045076",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045077",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045078",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045079",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045080",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045081",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045082",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045083",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045084",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045085",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045086",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045087",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045088",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045089",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045090",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045091",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045092",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045093",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045094",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045095",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045096",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045097",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045098",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045099",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045100",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045101",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045102",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045103",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045104",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045105",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045106",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045107",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045108",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045109",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045110",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045111",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045112",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045113",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045114",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045115",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045116",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045117",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045118",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045119",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045120",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045121",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045122",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045123",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045124",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045125",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045126",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045127",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045128",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045129",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045130",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045131",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045132",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045133",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045134",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045135",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045136",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045137",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045138",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045139",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045140",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045141",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045142",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045143",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045144",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045145",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045146",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045147",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045148",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045149",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045150",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045151",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045152",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045153",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045154",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045155",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045156",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045157",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045158",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045159",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045160",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045161",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045162",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045163",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045164",NA,NA,NA,NA,NA,NA
