"curation_id","curated_body_site","curated_body_site_ontology_term_id","curated_body_subsite","curated_body_subsite_ontology_term_id","curated_body_subsite_source"
"AsnicarF_2021:SAMEA7045004","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045005","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045006","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045007","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045008","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045009","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045010","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045011","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045012","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045013","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045014","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045015","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045016","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045017","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045018","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045019","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045020","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045021","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045022","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045023","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045024","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045025","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045026","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045027","feces","UBERON:0001988",NA,NA,NA
