"curation_id","original_westernized","curated_westernized","curated_westernized_source"
"AsnicarF_2021:SAMEA7045130","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045131","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045132","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045133","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045134","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045135","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045136","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045137","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045138","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045139","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045140","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045141","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045142","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045143","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045144","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045145","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045146","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045147","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045148","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045149","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045150","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045151","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045152","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045153","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045154","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045155","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045156","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045157","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045158","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045159","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045160","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045161","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045162","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045163","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045164","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045165","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045166","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045167","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045169","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045170","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045171","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045172","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045173","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045174","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045175","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045176","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045177","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045178","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045179","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045180","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045181","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045182","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045183","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045184","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045185","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045186","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045187","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045188","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045189","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045190","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045191","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045192","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045193","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045194","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045195","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045196","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045197","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045198","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045199","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045200","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045201","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045202","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045203","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045204","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045205","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045206","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045207","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045208","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045209","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045210","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045211","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045212","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045213","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045214","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045215","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045216","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045217","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045218","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045219","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045220","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045221","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045222","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045223","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045224","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045225","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045226","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045227","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045228","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045229","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045230","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045231","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045232","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045233","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045234","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045235","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045236","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045237","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045238","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045239","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045240","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045241","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045242","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045243","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045244","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045245","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045246","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045247","no","Yes","non_westernized"
